data,codigo_estacao,nome_estacao,cota_cm,vazao_m3s,chuva_mm,rio,uf,municipio,bacia,sub_bacia,latitude,longitude,altitude,area_drenagem_km2,ano,mes,dia,trimestre,dia_semana,periodo_hidrologico,fonte_dados,nivel_consistencia,tipo_medicao,Dia_Maxima,Dia_Minima,cota_maxima_mes_cm,cota_media_mes_cm,cota_mediadiaria_mes_cm,cota_minima_mes_cm,uf_nome,operando
2021-03-03,13572000,ESPALHA (Seringal Belo Horizonte),897.5,,,RIOZINHO DA ROLA ou RIO BRANCO,AC,RIO BRANCO,RIO AMAZONAS,"RIO SOLIMÕES,PURUS,COARI,..",-10.005,-68.5294,,3210.0,2021,3,3,1,Wednesday,cheia,convencional,1,1,25,19,1078.0,947.0,1,809.0,ACRE,1
2021-03-04,13572000,ESPALHA (Seringal Belo Horizonte),886.5,,,RIOZINHO DA ROLA ou RIO BRANCO,AC,RIO BRANCO,RIO AMAZONAS,"RIO SOLIMÕES,PURUS,COARI,..",-10.005,-68.5294,,3210.0,2021,3,4,1,Thursday,cheia,convencional,1,1,25,19,1078.0,947.0,1,809.0,ACRE,1
2021-03-05,13572000,ESPALHA (Seringal Belo Horizonte),875.0,,,RIOZINHO DA ROLA ou RIO BRANCO,AC,RIO BRANCO,RIO AMAZONAS,"RIO SOLIMÕES,PURUS,COARI,..",-10.005,-68.5294,,3210.0,2021,3,5,1,Friday,cheia,convencional,1,1,25,19,1078.0,947.0,1,809.0,ACRE,1
2021-03-06,13572000,ESPALHA (Seringal Belo Horizonte),860.0,,,RIOZINHO DA ROLA ou RIO BRANCO,AC,RIO BRANCO,RIO AMAZONAS,"RIO SOLIMÕES,PURUS,COARI,..",-10.005,-68.5294,,3210.0,2021,3,6,1,Saturday,cheia,convencional,1,1,25,19,1078.0,947.0,1,809.0,ACRE,1
2021-03-07,13572000,ESPALHA (Seringal Belo Horizonte),846.0,,,RIOZINHO DA ROLA ou RIO BRANCO,AC,RIO BRANCO,RIO AMAZONAS,"RIO SOLIMÕES,PURUS,COARI,..",-10.005,-68.5294,,3210.0,2021,3,7,1,Sunday,cheia,convencional,1,1,25,19,1078.0,947.0,1,809.0,ACRE,1
2021-03-08,13572000,ESPALHA (Seringal Belo Horizonte),876.5,,,RIOZINHO DA ROLA ou RIO BRANCO,AC,RIO BRANCO,RIO AMAZONAS,"RIO SOLIMÕES,PURUS,COARI,..",-10.005,-68.5294,,3210.0,2021,3,8,1,Monday,cheia,convencional,1,1,25,19,1078.0,947.0,1,809.0,ACRE,1
2021-03-09,13572000,ESPALHA (Seringal Belo Horizonte),905.0,,,RIOZINHO DA ROLA ou RIO BRANCO,AC,RIO BRANCO,RIO AMAZONAS,"RIO SOLIMÕES,PURUS,COARI,..",-10.005,-68.5294,,3210.0,2021,3,9,1,Tuesday,cheia,convencional,1,1,25,19,1078.0,947.0,1,809.0,ACRE,1
2021-03-10,13572000,ESPALHA (Seringal Belo Horizonte),915.5,,,RIOZINHO DA ROLA ou RIO BRANCO,AC,RIO BRANCO,RIO AMAZONAS,"RIO SOLIMÕES,PURUS,COARI,..",-10.005,-68.5294,,3210.0,2021,3,10,1,Wednesday,cheia,convencional,1,1,25,19,1078.0,947.0,1,809.0,ACRE,1
2021-03-11,13572000,ESPALHA (Seringal Belo Horizonte),928.5,,,RIOZINHO DA ROLA ou RIO BRANCO,AC,RIO BRANCO,RIO AMAZONAS,"RIO SOLIMÕES,PURUS,COARI,..",-10.005,-68.5294,,3210.0,2021,3,11,1,Thursday,cheia,convencional,1,1,25,19,1078.0,947.0,1,809.0,ACRE,1
2021-03-12,13572000,ESPALHA (Seringal Belo Horizonte),940.5,,,RIOZINHO DA ROLA ou RIO BRANCO,AC,RIO BRANCO,RIO AMAZONAS,"RIO SOLIMÕES,PURUS,COARI,..",-10.005,-68.5294,,3210.0,2021,3,12,1,Friday,cheia,convencional,1,1,25,19,1078.0,947.0,1,809.0,ACRE,1
